ID,IN/OUT,image_path,timestamp
0,IN,screenshots/ID_0_IN_20250715_115831.png,20250715_115831
0,OUT,screenshots/ID_0_OUT_20250715_115831.png,20250715_115831
1,IN,screenshots/ID_1_IN_20250715_115834.png,20250715_115834
1,OUT,screenshots/ID_1_OUT_20250715_115835.png,20250715_115835
